1.0.0.0/24,2151718,2077456,,0,0,3095,-37.7333,145.1500,1000
1.0.1.0/24,1810821,1814991,,0,0,,26.0614,119.3061,50
1.0.2.0/23,1810821,1814991,,0,0,,26.0614,119.3061,50
1.0.4.0/22,2077456,2077456,,0,0,,-33.4940,143.2104,1000
1.0.8.0/21,1809858,1814991,,0,0,,23.1167,113.2500,50
1.0.16.0/20,1850147,1861060,,0,0,190-0031,35.6850,139.7514,500
1.0.32.0/19,1809858,1814991,,0,0,,23.1167,113.2500,50
1.0.64.0/20,1854383,1861060,,0,0,700-0827,34.6617,133.9350,10
1.0.80.0/22,1854383,1861060,,0,0,700-0827,34.6617,133.9350,10
1.0.84.0/23,1854383,1861060,,0,0,700-0827,34.6617,133.9350,10
1.0.86.0/24,1854383,1861060,,0,0,700-0827,34.6617,133.9350,10
1.0.87.0/24,1858311,1861060,,0,0,700-0027,34.5833,133.7667,10
1.0.88.0/22,1858311,1861060,,0,0,700-0027,34.5833,133.7667,10
1.0.92.0/22,1861060,1861060,,0,0,190-0031,35.6854,139.7531,10
1.0.96.0/22,1849892,1861060,,0,0,680-0013,35.5036,134.2383,200
1.0.100.0/22,1857550,1861060,,0,0,690-0884,35.4722,133.0506,20
1.0.104.0/21,1861084,1861060,,0,0,693-0004,35.3667,132.7667,200
1.0.112.0/23,1849892,1861060,,0,0,680-0013,35.5036,134.2383,100
1.0.114.0/23,1858311,1861060,,0,0,700-0027,34.5833,133.7667,1
1.0.116.0/22,1852225,1861060,,0,0,750-0003,33.9500,130.9500,200
1.0.120.0/23,1852225,1861060,,0,0,750-0003,33.9500,130.9500,100
1.0.122.0/23,1858498,1861060,,0,0,744-0025,34.0000,131.8667,100
1.0.124.0/24,1861060,1861060,,0,0,190-0031,35.6854,139.7531,100
1.0.125.0/24,1852225,1861060,,0,0,750-0003,33.9500,130.9500,100
1.0.126.0/23,1852225,1861060,,0,0,750-0003,33.9500,130.9500,100
1.0.128.0/23,1605651,1605651,,0,0,,13.7500,100.4667,500
1.0.130.0/23,1607978,1605651,,0,0,,6.8749,101.2549,100
1.0.132.0/22,1609350,1605651,,0,0,96468,13.7540,100.5014,1000
1.0.136.0/21,1609350,1605651,,0,0,10500,13.7333,100.5333,500
1.0.144.0/20,1153557,1605651,,0,0,,10.5000,99.1667,500
